STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
08,001,Adams,Colorado,441603,+39.874297,-104.927473
08,003,Alamosa,Colorado,15445,+37.483069,-105.877245
08,005,Arapahoe,Colorado,572003,+39.647528,-104.845968
08,007,Archuleta,Colorado,12084,+37.240087,-107.085027
08,009,Baca,Colorado,3788,+37.368221,-102.527089
08,011,Bent,Colorado,6499,+38.072386,-103.163100
08,013,Boulder,Colorado,294567,+40.063299,-105.183981
08,014,Broomfield,Colorado,55889,+39.936888,-105.055491
08,015,Chaffee,Colorado,17809,+38.676497,-106.082645
08,017,Cheyenne,Colorado,1836,+38.816795,-102.457770
08,019,Clear Creek,Colorado,9088,+39.712957,-105.529650
08,021,Conejos,Colorado,8256,+37.195652,-105.989049
08,023,Costilla,Colorado,3524,+37.281779,-105.448477
08,025,Crowley,Colorado,5823,+38.188547,-103.857439
08,027,Custer,Colorado,4255,+38.134216,-105.381557
08,029,Delta,Colorado,30952,+38.798565,-107.910553
08,031,Denver,Colorado,600158,+39.721430,-104.955068
08,033,Dolores,Colorado,2064,+37.740817,-108.757410
08,035,Douglas,Colorado,285465,+39.485270,-104.879712
08,037,Eagle,Colorado,52197,+39.599453,-106.717771
08,039,Elbert,Colorado,23086,+39.382868,-104.519130
08,041,El Paso,Colorado,622263,+38.873669,-104.758477
08,043,Fremont,Colorado,46824,+38.426058,-105.206532
08,045,Garfield,Colorado,56389,+39.507561,-107.539356
08,047,Gilpin,Colorado,5441,+39.857020,-105.480210
08,049,Grand,Colorado,14843,+40.050388,-105.975400
08,051,Gunnison,Colorado,15324,+38.657886,-106.944723
08,053,Hinsdale,Colorado,843,+37.996875,-107.296530
08,055,Huerfano,Colorado,6711,+37.616312,-104.884201
08,057,Jackson,Colorado,1394,+40.692851,-106.291292
08,059,Jefferson,Colorado,534543,+39.720524,-105.128819
08,061,Kiowa,Colorado,1398,+38.470657,-102.680579
08,063,Kit Carson,Colorado,8270,+39.309763,-102.435733
08,065,Lake,Colorado,7310,+39.245870,-106.308061
08,067,La Plata,Colorado,51334,+37.265198,-107.806184
08,069,Larimer,Colorado,299630,+40.504546,-105.099218
08,071,Las Animas,Colorado,15507,+37.196601,-104.503149
08,073,Lincoln,Colorado,5467,+39.173232,-103.613697
08,075,Logan,Colorado,22709,+40.639399,-103.187715
08,077,Mesa,Colorado,146723,+39.092851,-108.543768
08,079,Mineral,Colorado,712,+37.798623,-106.935586
08,081,Moffat,Colorado,13795,+40.515239,-107.625859
08,083,Montezuma,Colorado,25535,+37.370817,-108.557116
08,085,Montrose,Colorado,41276,+38.479142,-107.934568
08,087,Morgan,Colorado,28159,+40.256023,-103.781517
08,089,Otero,Colorado,18831,+38.024096,-103.657432
08,091,Ouray,Colorado,4436,+38.139834,-107.746232
08,093,Park,Colorado,16206,+39.311718,-105.623144
08,095,Phillips,Colorado,4442,+40.599517,-102.387354
08,097,Pitkin,Colorado,17148,+39.232543,-106.907765
08,099,Prowers,Colorado,12551,+38.083772,-102.547035
08,101,Pueblo,Colorado,159063,+38.263685,-104.645147
08,103,Rio Blanco,Colorado,6666,+40.051033,-108.280174
08,105,Rio Grande,Colorado,11982,+37.616658,-106.238805
08,107,Routt,Colorado,23509,+40.453133,-106.899535
08,109,Saguache,Colorado,6108,+37.915302,-106.019489
08,111,San Juan,Colorado,699,+37.804646,-107.673989
08,113,San Miguel,Colorado,7359,+37.974202,-107.960034
08,115,Sedgwick,Colorado,2379,+40.960246,-102.327670
08,117,Summit,Colorado,27994,+39.573131,-106.054579
08,119,Teller,Colorado,23350,+38.943550,-105.140532
08,121,Washington,Colorado,4814,+40.092526,-103.156814
08,123,Weld,Colorado,252825,+40.328082,-104.788507
08,125,Yuma,Colorado,10043,+40.069473,-102.486935
